,quest,estimator,metric,llm_median,human_median,entries
0,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,coherence,3.0,8.5,3
1,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,faithfulness,2.0,7.0,3
2,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,naturalness,2.0,7.5,3
3,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,non-toxicity,9.0,10.0,3
4,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,relevancy,3.0,5.5,3
5,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,safety,9.0,9.5,3
6,claude-haiku-4-5-automata_v2-delivery_v2/quest1,gpt-5.4-mini,unbiasedness,9.0,10.0,3
7,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,coherence,4.0,8.0,3
8,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,faithfulness,3.0,8.0,3
9,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,naturalness,6.0,9.0,3
10,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,non-toxicity,9.0,10.0,3
11,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,relevancy,7.0,7.0,3
12,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,safety,10.0,10.0,3
13,claude-haiku-4-5-automata_v2-delivery_v2/quest11,gpt-5.4-mini,unbiasedness,10.0,10.0,3
14,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,coherence,3.0,7.0,3
15,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,faithfulness,3.0,7.0,3
16,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,naturalness,3.0,7.0,3
17,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,non-toxicity,2.0,9.0,3
18,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,relevancy,3.0,9.0,3
19,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,safety,9.0,10.0,3
20,claude-haiku-4-5-automata_v2-delivery_v2/quest15,gpt-5.4-mini,unbiasedness,10.0,10.0,3
21,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,coherence,4.0,9.0,3
22,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,faithfulness,2.0,10.0,3
23,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,naturalness,2.0,9.0,3
24,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,non-toxicity,6.0,10.0,3
25,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,relevancy,3.0,9.0,3
26,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,safety,9.0,10.0,3
27,claude-haiku-4-5-automata_v2-delivery_v2/quest4,gpt-5.4-mini,unbiasedness,9.0,10.0,3
28,claude-haiku-4-5-automata_v2-delivery_v2/quest9,gpt-5.4-mini,coherence,6.0,9.0,3
29,claude-haiku-4-5-automata_v2-delivery_v2/quest9,gpt-5.4-mini,faithfulness,3.0,8.0,3
30,claude-haiku-4-5-automata_v2-delivery_v2/quest9,gpt-5.4-mini,naturalness,3.0,9.0,3
