model,non-toxicity,count
claude-haiku-4-5-automata_v2-delivery_v2,2,0
claude-haiku-4-5-automata_v2-delivery_v2,3,0
claude-haiku-4-5-automata_v2-delivery_v2,5,2
claude-haiku-4-5-automata_v2-delivery_v2,7,0
claude-haiku-4-5-automata_v2-delivery_v2,8,6
claude-haiku-4-5-automata_v2-delivery_v2,9,6
claude-haiku-4-5-automata_v2-delivery_v2,10,30
deepseek-v3.2-automata_v2-delivery_v2,2,0
deepseek-v3.2-automata_v2-delivery_v2,3,0
deepseek-v3.2-automata_v2-delivery_v2,5,1
deepseek-v3.2-automata_v2-delivery_v2,7,1
deepseek-v3.2-automata_v2-delivery_v2,8,5
deepseek-v3.2-automata_v2-delivery_v2,9,11
deepseek-v3.2-automata_v2-delivery_v2,10,27
gemini-3-flash-preview-automata_v2-delivery_v2,2,0
gemini-3-flash-preview-automata_v2-delivery_v2,3,1
gemini-3-flash-preview-automata_v2-delivery_v2,5,0
gemini-3-flash-preview-automata_v2-delivery_v2,7,5
gemini-3-flash-preview-automata_v2-delivery_v2,8,7
gemini-3-flash-preview-automata_v2-delivery_v2,9,8
gemini-3-flash-preview-automata_v2-delivery_v2,10,25
gpt-5.4-automata_v2-delivery_v2,2,1
gpt-5.4-automata_v2-delivery_v2,3,0
gpt-5.4-automata_v2-delivery_v2,5,0
gpt-5.4-automata_v2-delivery_v2,7,4
gpt-5.4-automata_v2-delivery_v2,8,8
gpt-5.4-automata_v2-delivery_v2,9,6
gpt-5.4-automata_v2-delivery_v2,10,25
