criterion,comparison,beta,se,odds_ratio,ci_low,ci_high,p_value,success,p_holm
relevancy,deepseek-v3.2-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,1.7605832340740464,,5.815828394721607,,,,True,
relevancy,gemini-3-flash-preview-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,1.3837914890229168,,3.9900010299035005,,,,True,
relevancy,gpt-5.4-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,3.1384834163393536,,23.068854468067073,,,,True,
relevancy,gemini-3-flash-preview-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,,,,,,,False,
relevancy,gpt-5.4-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,-0.1401202134031935,,0.8692537331681445,,,,True,
relevancy,gpt-5.4-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,0.7923292013212103,,2.208534561676085,,,,True,
coherence,deepseek-v3.2-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,0.7343042172809964,,2.084031454861881,,,,True,
coherence,gemini-3-flash-preview-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,1.5524427434830481,,4.722993163788656,,,,True,
coherence,gpt-5.4-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,1.4566493495973545,,4.291555907542317,,,,True,
coherence,gemini-3-flash-preview-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,,,,,,,False,
coherence,gpt-5.4-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,-0.6621824175731363,,0.5157245790292895,,,,True,
coherence,gpt-5.4-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,-1.100120951908711,,0.3328308247398996,,,,True,
naturalness,deepseek-v3.2-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,0.7891806759609853,,2.201591869955553,,,,True,
naturalness,gemini-3-flash-preview-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,1.28264470547236,,3.60616436771856,,,,True,
naturalness,gpt-5.4-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,1.1068653141367628,,3.0248615266977175,,,,True,
naturalness,gemini-3-flash-preview-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,,,,,,,False,
naturalness,gpt-5.4-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,-0.6320834360581042,,0.5314833351542524,,,,True,
naturalness,gpt-5.4-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,-0.8263785081954297,,0.43763129813070517,,,,True,
faithfulness,deepseek-v3.2-automata_v2-delivery_v2 vs claude-haiku-4-5-automata_v2-delivery_v2,1.0703666218630885,,2.9164485377952323,,,,True,
