criterion,comparison,n_subjects,wilcoxon_stat,p_value,rank_biserial,median_model_1,median_model_2,mean_model_1,mean_model_2,p_holm
relevancy,claude-haiku-4-5-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,10,3.0,0.015625,-0.8666666666666667,7.5,10.0,6.95,8.95,0.078125
relevancy,claude-haiku-4-5-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,1.0,0.015625,-0.9444444444444444,7.5,10.0,6.95,9.0,0.078125
relevancy,claude-haiku-4-5-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,0.0,0.00390625,-1.0,7.5,10.0,6.95,9.35,0.0234375
relevancy,deepseek-v3.2-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,3.0,1.0,0.0,10.0,10.0,8.95,9.0,1.0
relevancy,deepseek-v3.2-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,0.0,0.25,-1.0,10.0,10.0,8.95,9.35,0.75
relevancy,gemini-3-flash-preview-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,0.0,0.5,-1.0,10.0,10.0,9.0,9.35,1.0
coherence,claude-haiku-4-5-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,10,8.0,0.359375,-0.42857142857142855,8.0,9.0,7.75,7.95,0.7265625
coherence,claude-haiku-4-5-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,0.0,0.015625,-1.0,8.0,9.75,7.75,9.3,0.09375
coherence,claude-haiku-4-5-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,5.0,0.09375,-0.7222222222222222,8.0,9.0,7.75,8.9,0.46875
coherence,deepseek-v3.2-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,5.0,0.140625,-0.6428571428571429,9.0,9.75,7.95,9.3,0.5625
coherence,deepseek-v3.2-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,6.5,0.25,-0.5357142857142857,9.0,9.0,7.95,8.9,0.7265625
coherence,gemini-3-flash-preview-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,9.0,0.2421875,0.5,9.75,9.0,9.3,8.9,0.7265625
naturalness,claude-haiku-4-5-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,10,9.0,1.0,0.14285714285714285,8.5,8.5,7.6,7.8,1.0
naturalness,claude-haiku-4-5-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,1.0,0.03125,-0.9285714285714286,8.5,9.0,7.6,8.8,0.15625
naturalness,claude-haiku-4-5-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,13.0,0.5703125,-0.2777777777777778,8.5,8.75,7.6,8.0,1.0
naturalness,deepseek-v3.2-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,1.0,0.0078125,-0.9555555555555556,8.5,9.0,7.8,8.8,0.046875
naturalness,deepseek-v3.2-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,10.5,0.65625,-0.25,8.5,8.75,7.8,8.0,1.0
naturalness,gemini-3-flash-preview-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,3.0,0.078125,0.7857142857142857,9.0,8.75,8.8,8.0,0.3125
faithfulness,claude-haiku-4-5-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,10,12.0,0.12890625,-0.5636363636363636,8.0,8.0,7.15,7.75,0.2578125
faithfulness,claude-haiku-4-5-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,6.5,0.0546875,-0.7111111111111111,8.0,9.25,7.15,8.65,0.21875
faithfulness,claude-haiku-4-5-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,0.0,0.015625,-1.0,8.0,10.0,7.15,9.25,0.09375
faithfulness,deepseek-v3.2-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,1.0,0.0625,-0.9047619047619048,8.0,9.25,7.75,8.65,0.21875
