model,coherence,count
claude-haiku-4-5-automata_v2-delivery_v2,1,1
claude-haiku-4-5-automata_v2-delivery_v2,2,2
claude-haiku-4-5-automata_v2-delivery_v2,3,0
claude-haiku-4-5-automata_v2-delivery_v2,4,1
claude-haiku-4-5-automata_v2-delivery_v2,5,1
claude-haiku-4-5-automata_v2-delivery_v2,6,1
claude-haiku-4-5-automata_v2-delivery_v2,7,5
claude-haiku-4-5-automata_v2-delivery_v2,8,0
claude-haiku-4-5-automata_v2-delivery_v2,9,9
claude-haiku-4-5-automata_v2-delivery_v2,10,10
deepseek-v3.2-automata_v2-delivery_v2,1,0
deepseek-v3.2-automata_v2-delivery_v2,2,1
deepseek-v3.2-automata_v2-delivery_v2,3,2
deepseek-v3.2-automata_v2-delivery_v2,4,1
deepseek-v3.2-automata_v2-delivery_v2,5,1
deepseek-v3.2-automata_v2-delivery_v2,6,2
deepseek-v3.2-automata_v2-delivery_v2,7,3
deepseek-v3.2-automata_v2-delivery_v2,8,7
deepseek-v3.2-automata_v2-delivery_v2,9,11
deepseek-v3.2-automata_v2-delivery_v2,10,0
gemini-3-flash-preview-automata_v2-delivery_v2,1,0
gemini-3-flash-preview-automata_v2-delivery_v2,2,1
gemini-3-flash-preview-automata_v2-delivery_v2,3,0
gemini-3-flash-preview-automata_v2-delivery_v2,4,1
gemini-3-flash-preview-automata_v2-delivery_v2,5,1
gemini-3-flash-preview-automata_v2-delivery_v2,6,2
gemini-3-flash-preview-automata_v2-delivery_v2,7,3
gemini-3-flash-preview-automata_v2-delivery_v2,8,4
gemini-3-flash-preview-automata_v2-delivery_v2,9,9
gemini-3-flash-preview-automata_v2-delivery_v2,10,0
gpt-5.4-automata_v2-delivery_v2,1,0
gpt-5.4-automata_v2-delivery_v2,2,2
gpt-5.4-automata_v2-delivery_v2,3,0
gpt-5.4-automata_v2-delivery_v2,4,2
gpt-5.4-automata_v2-delivery_v2,5,2
gpt-5.4-automata_v2-delivery_v2,6,0
gpt-5.4-automata_v2-delivery_v2,7,2
gpt-5.4-automata_v2-delivery_v2,8,12
gpt-5.4-automata_v2-delivery_v2,9,10
gpt-5.4-automata_v2-delivery_v2,10,0
