criterion,comparison,n_subjects,wilcoxon_stat,p_value,rank_biserial,median_model_1,median_model_2,mean_model_1,mean_model_2,p_holm
relevancy,claude-haiku-4-5-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,4,1.5,0.75,0.5,6.0,5.25,5.5,5.25,1.0
relevancy,claude-haiku-4-5-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,4,0.0,1.0,1.0,6.0,5.5,5.5,5.25,1.0
relevancy,claude-haiku-4-5-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,4,0.0,0.5,-1.0,6.0,6.25,5.5,5.875,1.0
relevancy,deepseek-v3.2-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,4,3.0,1.0,0.0,5.25,5.5,5.25,5.25,1.0
relevancy,deepseek-v3.2-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,4,1.5,0.375,-0.7,5.25,6.25,5.25,5.875,1.0
relevancy,gemini-3-flash-preview-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,4,0.0,0.25,-1.0,5.5,6.25,5.25,5.875,1.0
coherence,claude-haiku-4-5-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,8,10.5,0.328125,0.4166666666666667,9.25,8.5,8.125,7.25,1.0
coherence,claude-haiku-4-5-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,8,1.5,0.09375,0.8571428571428571,9.25,8.25,8.125,7.3125,0.5625
coherence,claude-haiku-4-5-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,8,11.0,0.359375,0.3888888888888889,9.25,8.0,8.125,7.125,1.0
coherence,deepseek-v3.2-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,8,9.5,0.875,0.09523809523809523,8.5,8.25,7.25,7.3125,1.0
coherence,deepseek-v3.2-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,8,11.5,0.703125,0.17857142857142858,8.5,8.0,7.25,7.125,1.0
coherence,gemini-3-flash-preview-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,8,15.5,0.7734375,0.1388888888888889,8.25,8.0,7.3125,7.125,1.0
naturalness,claude-haiku-4-5-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,10,9.0,1.0,-0.14285714285714285,8.0,7.5,7.1,7.2,1.0
naturalness,claude-haiku-4-5-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,15.0,0.7109375,-0.16666666666666666,8.0,8.75,7.1,7.45,1.0
naturalness,claude-haiku-4-5-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,25.5,0.90234375,-0.07272727272727272,8.0,8.0,7.1,7.15,1.0
naturalness,deepseek-v3.2-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,6.0,0.34375,-0.42857142857142855,7.5,8.75,7.2,7.45,1.0
naturalness,deepseek-v3.2-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,14.0,1.0,0.0,7.5,8.0,7.2,7.15,1.0
naturalness,gemini-3-flash-preview-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,4.5,0.3125,0.5714285714285714,8.75,8.0,7.45,7.15,1.0
faithfulness,claude-haiku-4-5-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,10,20.0,0.494140625,-0.2727272727272727,6.75,8.0,6.45,6.9,0.90625
faithfulness,claude-haiku-4-5-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,7.5,0.1640625,-0.5833333333333334,6.75,8.0,6.45,7.3,0.65625
faithfulness,claude-haiku-4-5-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,3.5,0.0234375,-0.8444444444444444,6.75,8.25,6.45,7.55,0.140625
faithfulness,deepseek-v3.2-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,10,9.0,0.2421875,-0.5,8.0,8.0,6.9,7.3,0.7265625
faithfulness,deepseek-v3.2-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,5.0,0.0859375,-0.7222222222222222,8.0,8.25,6.9,7.55,0.4296875
faithfulness,gemini-3-flash-preview-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,10,9.0,0.453125,-0.35714285714285715,8.0,8.25,7.3,7.55,0.90625
safety,claude-haiku-4-5-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,2,0.0,1.0,1.0,8.0,6.5,8.0,6.5,1.0
safety,claude-haiku-4-5-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,2,1.5,1.0,0.0,8.0,8.0,8.0,8.0,1.0
safety,claude-haiku-4-5-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,2,0.0,1.0,1.0,8.0,7.5,8.0,7.5,1.0
safety,deepseek-v3.2-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,2,0.0,0.5,-1.0,6.5,8.0,6.5,8.0,1.0
safety,deepseek-v3.2-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,2,0.0,1.0,-1.0,6.5,7.5,6.5,7.5,1.0
safety,gemini-3-flash-preview-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,2,0.0,1.0,1.0,8.0,7.5,8.0,7.5,1.0
non-toxicity,claude-haiku-4-5-automata_v2-delivery_v2 vs deepseek-v3.2-automata_v2-delivery_v2,5,4.0,1.0,0.2,8.5,8.0,7.8,8.3,1.0
non-toxicity,claude-haiku-4-5-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,5,4.5,1.0,-0.1,8.5,8.5,7.8,8.2,1.0
non-toxicity,claude-haiku-4-5-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,5,3.0,1.0,0.0,8.5,8.0,7.8,8.1,1.0
non-toxicity,deepseek-v3.2-automata_v2-delivery_v2 vs gemini-3-flash-preview-automata_v2-delivery_v2,5,2.5,1.0,0.16666666666666666,8.0,8.5,8.3,8.2,1.0
non-toxicity,deepseek-v3.2-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,5,1.5,0.75,0.5,8.0,8.0,8.3,8.1,1.0
non-toxicity,gemini-3-flash-preview-automata_v2-delivery_v2 vs gpt-5.4-automata_v2-delivery_v2,5,4.0,1.0,0.2,8.5,8.0,8.2,8.1,1.0
